organisation,documentation-url,resource-url,data-gov-uk,start-date,end-date,esd-dataset
local-authority-eng:CHR,,https://www.cherwell.gov.uk/download/downloads/id/4657/brownfield-land-register-december-2017.csv,,,,
local-authority-eng:CHS,,https://www.chesterfield.gov.uk/media/562918/cbc_brownfield_register.csv,,,2019-11-29,
local-authority-eng:CHS,https://www.chesterfield.gov.uk/planning-and-building-control/planning-policy-and-the-local-plan/land-availability-assessment/brownfield-land-register.aspx,https://www.chesterfield.gov.uk/media/824312/cbc-brownfield-register-december-2018.csv,,,,
local-authority-eng:CHT,,https://www.cheltenham.gov.uk/download/downloads/id/6228/cheltenham_brownfieldregister_2017-12-31_rev1csv.csv,7734062a-37ec-433d-b8a9-f5633737cf40,,,
local-authority-eng:CHT,https://www.cheltenham.gov.uk/info/12/planning_and_development/1362/brownfield_register,https://www.cheltenham.gov.uk/download/downloads/id/6228/cheltenham_brownfield_register_2017.csv,,,,
local-authority-eng:CHT,https://www.cheltenham.gov.uk/info/12/planning_and_development/1362/brownfield_register,https://www.cheltenham.gov.uk/download/downloads/id/6996/cheltenham_brownfield_register_2018.csv,b34eacf1-c285-47c5-a100-fa095632b4de,2018-12-20,,
local-authority-eng:CHW,,http://consult.cheshirewestandchester.gov.uk/file/4828366,,,,
local-authority-eng:CLD,https://dataworks.calderdale.gov.uk/dataset/brownfield-land-register,https://files.datapress.com/calderdale/dataset/brownfield-land-register/2017-12-21T10:30:42.92/brownfield-register.csv,1c95bc5d-5f8a-4c7c-aed6-9ec6459dbd85,,2019-02-19,
local-authority-eng:CLD,https://dataworks.calderdale.gov.uk/dataset/brownfield-land-register,https://dataworks.calderdale.gov.uk/download/brownfield-land-register/ce479c95-8ad9-4e3f-98fe-c8c59d0a7742/Brownfield%20land%20register%202018.xlsx,1c95bc5d-5f8a-4c7c-aed6-9ec6459dbd85,2019-02-19,,
local-authority-eng:CMD,https://www.camden.gov.uk/planning-guidance#byto,https://opendata.camden.gov.uk/api/views/dc7i-3xh8/rows.csv?accessType=DOWNLOAD,9070acd9-2bb5-4ddb-8149-fa342b9faf2f,2017-12-22,2019-11-29,
local-authority-eng:CMD,https://www.camden.gov.uk/planning-guidance#byto,https://opendata.camden.gov.uk/api/views/izhm-jdrx/rows.csv?accessType=DOWNLOAD,906a1dcd-67e6-4477-926e-027c58420823,2018-08-18,,
local-authority-eng:COL,http://datashare.colchester.gov.uk/View/planning-and-licensing/brownfield-land-register,https://s3.eu-west-2.amazonaws.com/digital-land/brownfield-sites/COL-2017-07-23.csv,,,,
local-authority-eng:CON,https://www.cornwall.gov.uk/environment-and-planning/planning/planning-policy/adopted-plans/evidence-base/register-of-brownfield-land/,http://www.cornwall.gov.uk/media/30358128/cornwallcouncil_brownfieldregister_2017-12-12_rev1.csv,28f08b1f-38a6-4d4b-b3c2-783faffee3a0,2017-12-12,,
local-authority-eng:CON,https://www.cornwall.gov.uk/environment-and-planning/planning/planning-policy/adopted-plans/evidence-base/register-of-brownfield-land/,https://www.cornwall.gov.uk/media/35844736/cornwallcouncil_brownfieldregister_2018-12-12_rev1.csv,28f08b1f-38a6-4d4b-b3c2-783faffee3a0,2018-12-12,,
local-authority-eng:COP,https://www.copeland.gov.uk/content/brownfield-register,https://www.copeland.gov.uk/sites/default/files/attachments/copeland_brownfield_register.csv,ed54f86f-98e3-42bd-b472-eb7bf75ee5f5,,2019-11-29,
local-authority-eng:COP,https://www.copeland.gov.uk/content/brownfield-register,https://www.copeland.gov.uk/sites/default/files/attachments/copeland_brownfield_register_0.csv,ed54f86f-98e3-42bd-b472-eb7bf75ee5f5,2018-02-14,,
local-authority-eng:COR,,http://www.nnjpu.org.uk/docs/BrownfieldLandRegisterTemplate%20-%202017%20Update%20-%20ONLINE%20VERSION.xlsm,,,,
local-authority-eng:COT,,http://www.cotswold.gov.uk/media/1565830/Brownfield-Land-Register.csv,,,,
local-authority-eng:COV,,http://www.coventry.gov.uk/download/downloads/id/27273/brownfield_land_register.xlsm,,,2019-10-20,
local-authority-eng:COV,https://www.coventry.gov.uk/brownfieldlandregister,https://www.coventry.gov.uk/download/downloads/id/27571/brownfield_land_register.xlsm,,,,
local-authority-eng:CRA,https://www.cravendc.gov.uk/planning/brownfield-land-register/,https://www.cravendc.gov.uk/media/5414/brownfield-land-register-020218.xlsx,,,2019-10-20,
local-authority-eng:CRA,https://www.cravendc.gov.uk/planning/brownfield-land-register/,https://www.cravendc.gov.uk/media/5414/z-local-plans-website-blr-brownfield-land-register-020218.xlsx,,,,
local-authority-eng:CRW,,http://www.crawley.gov.uk/pw/native/PUB327228,,,,
local-authority-eng:CRY,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Croydon%20Brownfield%20Land%20Register.xlsx,,,,
local-authority-eng:DAC,http://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/brownfield-land-register,https://www.dacorum.gov.uk/docs/default-source/default-document-library/dbc---brownfield-land-register-2017---csv-data-gov-version.csv?sfvrsn=0,d0e412ad-78e5-4de1-a1d9-21efcf3ffe11,2017-12-19,,
local-authority-eng:DAC,http://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/brownfield-land-register,http://www.dacorum.gov.uk/docs/default-source/strategic-planning/dbc---brownfield-land-register--2018-(updated-29-august-2018-)-appendix-1-cabinet-sept-2018a4dc614551156b7f9bc7ff00000246a4.csv?sfvrsn=4,d0e412ad-78e5-4de1-a1d9-21efcf3ffe11,2018-08-29,,
local-authority-eng:DAL,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/brownfield-land-register/,https://www.darlington.gov.uk/media/2285/brownfield_land_register.csv,,,,
local-authority-eng:DAR,,https://www.dartford.gov.uk/__data/assets/file/0009/442278/Dartford_brownfieldregister_2017-12-19_rev1.csv,,,2019-11-03,
local-authority-eng:DAR,https://www.dartford.gov.uk/by-category/environment-and-planning2/new-planning-homepage/planning-policy/brownfield-land-register,https://www.dartford.gov.uk/__data/assets/file/0011/657434/Dartford_brownfieldregister_2018-12-17_rev2.csv,b6e11b9f-d7f2-42c7-b2c7-90260a7080d4,,,
local-authority-eng:DAV,,https://www.daventrydc.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=46090,,,,
local-authority-eng:DEB,,http://www.derbyshiredales.gov.uk/images/documents/B/Register%20v7%20Govt%20guidance%2028th%20July%202017.csv,,,,
local-authority-eng:DER,,http://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/policiesandguidance/planning/derby_brownfieldregister_2017_12_31_rev1.csv,,,2019-10-20,
local-authority-eng:DER,https://www.derby.gov.uk/environment-and-planning/planning/brownfield-register/,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/policiesandguidance/planning/Derby_brownfieldregister_2018-12-20_rev1.csv,ec26ead7-1cc2-42dd-9247-1243146563eb,2018-12-20,,
local-authority-eng:DNC,,https://dmbcpublicwebsite.blob.core.windows.net/media/Default/Planning/Documents/Local%20Plan/Self%20build%20register/doncaster_brownfieldregister_2017-12-31_rev1.csv,,,2019-10-20,
local-authority-eng:DNC,https://www.doncaster.gov.uk/services/planning/brownfield-land-register,https://dmbcwebstolive01.blob.core.windows.net/media/Default/Planning/Documents/Local%20Plan/Self%20build%20register/Brown%20Field%20Land%20Register%202018.csv,6d97f497-3a38-4d0a-90b6-d44a0d080c83,2018-12-19,,
