MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0052,Maidstone E07000110,Maidstone,13/2142,,Expired consent,,81 London Road,"Maidstone, Kent, ME16 0DU",Cartesian,574966,156156,0.28,Not owned by a public authority,Yes,not permissioned,,,,,13,13,None,No,Dec-17,May-19,,,,
BLR0053,Maidstone E07000110,Maidstone,15/502916,,Extant consent,"British Queen, ",7 - 8 Square Hill,"Maidstone, Kent, ME15 7TJ",Cartesian,576737,155704,0.07,Not owned by a public authority,Yes,completed,full planning permission,17/03/2016,Demolition of the British Queen Public House and erection of 14no. residential apartments,13,13,13,None,Yes,Dec-17,Jun-18,,,,
BLR0054,Maidstone E07000110,Maidstone,15/510396,,Extant consent,"Miller House, ",43 - 51 Lower Stone Street,"Maidstone, Kent, ME15 6GB",Cartesian,576275,155414,0.22,Not owned by a public authority,Yes,completed,full planning permission,15/07/2016,Change of use of an office to 12 residential units.,12,12,12,None,Yes,Dec-17,May-19,,,,
BLR0055,Maidstone E07000110,Maidstone,16/507185,,Extant consent,,39 - 41 Lower Stone Street,"Maidstone, Kent, ME15 6LH",Cartesian,576264,155445,0.04,Not owned by a public authority,Yes,permissioned,prior notification,04/11/2016,Prior Notification for proposed change of use from Offices (Class B1) to 12 residential units (Class C3).,12,12,12,None,No,Dec-17,,,,,
BLR0056,Maidstone E07000110,Maidstone,15/506036,,Extant consent,,105 Week Street,"Maidstone, Kent, ME14 1RB",Cartesian,575985,156104,0.03,Not owned by a public authority,Yes,permissioned,full planning permission,02/06/2016,"Conversion of the existing first and second floors of the building to residential use, erection of an additional floor and associated changes to the ground floor to create a total of 11 new residential units.",11,11,11,None,No,Dec-17,,,,,
BLR0057,Maidstone E07000110,Maidstone,16/504264,,Extant consent,"Knightrider Court, ",Knightrider Street,"Maidstone, ME15 6LU",Cartesian,576113,155401,0.18,Not owned by a public authority,Yes,permissioned,full planning permission,16/09/2016,Development of 8no two bedroomed and 2no one bedroomed apartments with associated parking and erection of side extension to William Shipley House.,10,10,10,None,Yes,Dec-17,,,,,
BLR0058,Maidstone E07000110,Maidstone,16/506154,,Extant consent,,11 - 17 Castle Dene,"Maidstone, Kent",Cartesian,575420,157875,0.58,Not owned by a public authority,Yes,completed,full planning permission,10/11/2016,"Demolition of nos. 13, 15 and 17 Castle Dene and erection of 13 new dwellings together with associated parking, landscaping, infrastructure and earthworks",10,10,10,None,Yes,Dec-17,May-19,,,,
BLR0059,Maidstone E07000110,Maidstone,18/502253/FULL ,H1(35),LP allocation,"Old School House Day Nursery, ",Station Approach,"Headcorn, Kent, TN27 9SD",Cartesian,583807,144063,0.27,Not owned by a public authority,Yes,permissioned,full planning permission,20/07/2018,"Demolition of Old School House and erection of 9 terraced dwellings in two blocks together with parking, landscaping and access.",9,9,9,None,No,Dec-17,Jun-18,,,,
BLR0060,Maidstone E07000110,Maidstone,15/504748,,Extant consent,,84 King Street,"Maidstone, ME14 1DZ",Cartesian,576424,155705,0.04,Not owned by a public authority,Yes,permissioned,full planning permission,13/08/2015,Change of use and conversion of existing doctors surgery to 9 one bed apartments,9,9,9,None,Yes,Dec-17,May-19,,,,
BLR0061,Maidstone E07000110,Maidstone,16/507233,,Extant consent,"Garage Site, ",Francis Lane,"Maidstone, Kent",Cartesian,578674,152421,0.23,Not owned by a public authority,Yes,permissioned,full planning permission,19/01/2017,Demolition of 27 existing garages and erection of a terrace of 9 dwellings with associated parking and landscaping.,9,9,9,None,No,Dec-17,,,,,
