OrganisationURI,"SiteReference
",SiteNameAddress,SitePlanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-31,"“Connaught Estate, land south of Sandy Hill Lane west of Brookhill Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178375,543544,3.03,Mixed ownership,Permissioned,Full planning permission,2015-04-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,354,354,,"""14/0086/O hybrid application and susequent reserved matters applications. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-32,"“Kings Arms, 1 Frances St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178502,542853,0.05,Not owned by a public authority,Permissioned,Full planning permission,2019-01-21,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,19,19,,"""17/2771/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-33,"“Ava Cars, 188 Court Rd Mottingham“",www.royalgreenwich.gov.uk/brownfieldregister,173191,542632,0.05,Not owned by a public authority,Permissioned,Full planning permission,2015-04-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,14,14,,“13/1841/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-34,"“3rd & 4th Floors Farndale Court, 1-3 Master Gunner Place Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,,,0.05,Not owned by a public authority,Permissioned,Full planning permission,2015-08-12,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,7,7,,"""15/0783/F. Started""",2017-12-23,2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-35,“54 Westcombe Hill Westcombe Park“,www.royalgreenwich.gov.uk/brownfieldregister,178142,540268,0.09,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,7,7,,"""Previous permission 15/0919/F included in 2017 Brownfield Register lapsed."" ",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-36,“1 Charlton Rd Blackheath“,www.royalgreenwich.gov.uk/brownfieldregister,177388,540327,0.03,Not owned by a public authority,Permissioned,Full planning permission,2015-08-26,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“15/1483/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-37,“Garages adjacent to 39 Samuel St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178866,542545,0.06,Not owned by a public authority,Permissioned,Full planning permission,2015-09-22,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,13,13,,“15/0138/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-38,"“Lord Clyde, 1 Brookhill Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,177968,543618,0.15,Not owned by a public authority,Permissioned,Full planning permission,2015-09-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,"“Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-39,"“Kitchener House & Ellington House, Ashmore Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,177111,543056,0.04,Not owned by a public authority,Permissioned,Full planning permission,2015-10-22,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,“15/2686/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-40,“145 Westmount Rd Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,175284,543109,0.08,Not owned by a public authority,Permissioned,Full planning permission,2015-10-26,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,-3,-3,,"“14/3700/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-41,“11 Eglinton Hill Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,177616,543786,0.01,Not owned by a public authority,Permissioned,Full planning permission,2015-11-06,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“15/2481/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-42,“6 Frances St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178525,542873,0.02,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,6,6,,"“Previous permission 15/2187/F included in 2018 Brownfield Register now lapsed.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-43,"“Equitable House, 7 General Gordon Square Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178855,543707,0.14,Not owned by a public authority,Permissioned,Full planning permission,2015-11-30,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"“15/2150/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-44,"“Knight Dragon site, Edmund Halley Way Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,179608,539283,46.11,Mixed ownership,Permissioned,Outline planning permission,2015-12-08,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5000,"10,000",,"“15/0716/O. Anticipated that between 5000 to 10,000 dwellings will be completed within a 15-year timeframe up to 2034.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-45,"“Holt Court, 26 Horseferry Place Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,177844,538059,0.04,Not owned by a public authority,Permissioned,Full planning permission,2015-12-09,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,32,32,,"""14/1775/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-46,"“Charlton Liberal Club, 59 Charlton Church Lane Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,178268,541251,0.05,Not owned by a public authority,Permissioned,Full planning permission,2015-12-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,3,3,,"“15/3102/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-47,"“Creekside East, Creek Rd & Copperas St Deptford“",www.royalgreenwich.gov.uk/brownfieldregister,177639,537786,0.47,Not owned by a public authority,Permissioned,Full planning permission,2015-12-14,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,249,249,,“14/3795/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-48,"“Enderby Place (northern part of Enderby Wharf), Banning St & Christchurch Way Greenwich""",www.royalgreenwich.gov.uk/brownfieldregister,178727,539209,3.03,Not owned by a public authority,Permissioned,Full planning permission,2015-12-23,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,477,477,,"“15/0973/F. Started. Previously part of Enderby Wharf site.""
",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-49,“1 Anglesea Mews Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178662,543700,0.01,Not owned by a public authority,Permissioned,Full planning permission,2016-03-04,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“15/3214/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
