OrganisationURI,OrganisationLabel,"SiteReference
",PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-87,,?2a Kirkham St Plumstead?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545080,177635,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,2017-08-30,,,6,"?15/3082/F. Demolition of existing (B2) warehouse structures onsite and the construction of 6 x 2-brm townhouses with private outdoor amenity space, car and bicycle parking provision and refuse collection and storage arrangements.?",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-88,,?3-5 Tunnel Ave Greenwich?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540055,178358,0.11,Unknown ownership,Yes,Permissioned,Full planning permission,2017-09-22,,,23,"""16/3858/F. Demolition of the existing building and construction of a 4-storey block comprising 23 self-contained flats (12 x 1-brm, 10 x 2 -brm and 1 x 3-brm).""",,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-89,,"?Island site, Thomas, Wellington, Polytechnic & Calderwood Sts Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543502,178849,0.68,Unknown ownership,Yes,Pending decision,,,,,310,"?16/2480/F. The phased redevelopment and refurbishment of the Island site to provide 310 dwellings, a cinema, and a mix of D1, A1, A3 and B1 uses, with associated parking and servicing arrangements, amenity and open space.?","?Cinema and a mix of D1, A1, A3 and B1 uses.?",,,,,,"?Resolution to approve.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-90,,"?Spray St SPD area, Spray St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543874,178888,1.86,Unknown ownership,,Not Permissioned,,,,,455,"""Spray Street Masterplan SPD adopted January 2015. Illustrative Masterplan includes a comprehensive mixed-use development comprising residential, student accommodation, hotel, retail, caf�/restaurant, entertainment, cinema, flexible event/activity/market space, nursery, and flexible office/small business space.""","?Student accommodation, hotel, retail, caf�/restaurant, entertainment, cinema, flexible event/activity/market space, nursery, and flexible office/small business space.""",,,,,,?Minimum net dwellings based on Illustrative Masterplan capacity and 2016 London SHLAA capacity.',2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-91,,?Land At Harrow Manorway & Felixstowe Rd Abbey Wood?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,547280,179322,2.15,Unknown ownership,Yes,Permissioned,Full planning permission,2018-09-27,,,245,"""16/2878/F. Erection of two buildings comprising 245 residential units (use class C3), 882 m� of flexible commercial space (Use Classes A1-A5/B1/D1), associated works including access, parking, landscaping and public realm.""",882 m� of flexible commercial space (use classes A1-A5/B1/D1),,,,,,"""Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-92,,"?Norman House, 110-114 Norman Rd Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537769,177216,0.16,Unknown ownership,Yes,Pending decision,,,,,63,"""16/2783/F. Demolition of existing building and construction of a part 5-/part 12-storey building comprising 63 residential units, 395 m� commercial floorspace (Class A2/B1) including car parking, cycle parking, landscaping and associated works.""","""395 m� commercial floorspace (Class A2/B1)""",,,,,,"?Resolution to approve.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-93,,"?Woolwich Catholic Club, 81-88 Beresford St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543679,179053,0.80,Unknown ownership,Yes,Permissioned,Full planning permission,2017-22-12,,,59,"""16/1975/F. Demolition and redevelopment of the former Woolwich Catholic Club for a part 7-/part 11-storey building providing a mixed use development comprising gym use (Class D2) at basement and ground level and 59 flats above, together with associated works.""","""Gym use (Class D2) at basement and ground level.""",,,,,,"""Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-94,,?16 Sandpit Pl Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542370,178348,0.31,Unknown ownership,Yes,Permissioned,Full planning permission,2018-03-23,,,32,"""17/0453/F. Demolition of existing building and construction of 2 x 1-brm and 30 x 2-brm houses with associated hard/soft landscaping and creation of 12 on-street parking spaces.""",,,,,,,"""Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-95,,"?Fred Styles House and adjacent garages, 20 Fletching Rd Charlton?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541450,177894,0.40,Unknown ownership,Yes,Pending decision,,,,,37,"""17/1460/F. Demolition of existing block and garages and construction of 37 residential units comprising 3 x 1-brm, 5 x 2-brm flats and 16 x 1-brm, 7 x 2-brm, 6 x 3-brm houses with associated landscaping, parking and refuse.""",,,,,,,"?Resolution to approve.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-96,,"""Christchurch Way""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,1.80,Unknown ownership,Yes,Permissioned,Full planning permission,2014-11-16,,,272,"""14/0293. Reconfiguration of the existing Alcatel-Lucent Greenwich factory including partial demolition, extensions, internal and external alterations, construction of a new energy centre and 272 residential units, play spaces, associated landscaping, access, car parking and infrastructure works.""",,,,,,,"""Started""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-97,,"""The Lord Hood, 300 Creek Road, ",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-11-02,,,8,"""15/2009/F Demolition of existing building and construction of a part 4/part 5-storey building plus basement accommodating a replacement public house (A4) on the ground floor/basement and 8 dwellings above (2x1-bed, 6x2-bed).""","""Replacement public house (A4) on the ground floor/basement.""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-98,,"""Land adjacent to and South West of the O2 (Plot N0201)""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.22,Unknown ownership,Yes,Permissioned,Full planning permission,2018-08-17,,,262,"""15/3552/F Construction of a 36 storey tower (120 metres AOD) comprising of 262 residential units, 2,213 sq.m (GEA) of retail floorspace (Use Classes A1 to A5) and 189 sq.m flexible floorspace (Use classes A1 to A5, ancillary C3, or D2 for a commercial gym) and associated landscaping, plant, servicing and parking.""","""2,213 sq.m (GEA) of retail floorspace (Use Classes A1 to A5) and 189 sq.m flexible floorspace (Use classes A1 to A5, ancillary C3, or D2 for a commercial gym)""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-99,,"""67 Plumstead High Street""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2018-04-10,,,8,"""15/3970 Construction of a three storey new build development consisting of 8 residential units (Class C3) including 5 x 2-bedroom flats and 3 x 1-bedroom flats, plus associated secure bicycle parking and refuse storage areas.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-100,,"""415 Footscray Road""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2017-12-21,,,-3,"""17/0599 Construction of a two storey rear extension and conversion of property to provide 5 self-contained flats (2x1-bed, 3x2-bed).""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-101,,"""The Sorting Office, 31-37 Greenwich Park Street""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2017-11-07,,,9,"""17/1377 Redevelopment of the site to create nine residential units (4 x 2-bed and 5 x 3-bed).""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-102,,"""70 Eastcombe Avenue""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,2017-07-24,,,5,"""17/1441 Demolition of existing dwelling and construction of a part 2/part 2.5-storey building providing 6 apartments (2x1-bed, 2x2-bed, 2x3-bed) with associated landscaping, refuse and bicycle store.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-103,,"""40 Victoria Way""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,1.36,Unknown ownership,Yes,Permissioned,Full planning permission,2018-03-27,,,330,"""17/1795 Demolition of existing warehouse and redevelopment of the site to provide 330 residential units in blocks ranging from 2-10 storeys, creation of 439 sqm of community floorspace (Use Class D1) in a part 1 / 2 storey block, 999 m2 (Use Class B1) in a 3 storey block, 144 car parking spaces and associated cycle parking, refuse and landscaping.""","""Creation of 439 sqm of community floorspace (Use Class D1) in a part 1 / 2 storey block, 999 m2 (Use Class B1) in a 3 storey block""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-104,,"""Glenmore Arms, 41 Edison Grove""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,2017-08-04,,,4,"""17/1805 Construction of a part 1/part 2-storey rear and side extension with loft conversion to facilitate the formation of 5 residential units (2 x studios, 2 x 1-bed, 1 x 2-bed) on first and second floors including associated landscaping works""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-105,,"""Majestic Wine Warehouse, 123 Greenwich South Street""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2018-01-19,,,9,"""17/1914 Demolition of existing building and erection of nine flats (comprising 1 x studio, 5 x one bed, 2 x two bed and 1 x three bed) over retail unit, in two/three storeys, with parking to rear and vehicular access off Lindsell Street.""","""Retail unit""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-106,,"""Ascension Vicarage, Thornhill Avenue""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.06,Unknown ownership,Yes,Permissioned,Outline planning permission,2018-03-12,,,4,"""17/1916 Outline planning permission (Appearence, Landscaping and Scale Reserved) for the demolition of existing building and construction of 2 x 4-bed dwellings and 2 x 2-bed and 1 x 3-bed flats with associated parking, cycle storage and refuse.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-107,,"""1 Hyde Vale""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,2018-04-20,,,7,"""17/2178 Demolition of existing buildings and construction of a 4 storey (including basement) development comprising 4 x 3 bedroom houses; 1 x 2 bedroom and 2 x 1 bedroom units; 4 x domestic outbuildings and associated works.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-108,,"""9 Eglington Hill""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,2017-11-10,,,4,"""17/2190 Construction of one two-storey side extension with loft, basement, rear dormer and two front rooflights. Construction of one three-storey side extension with basement. Construction of two rear dormer windows, insertion of two front roof lights to main roof. Creation of four new self-contained flats in addition to existing four self-contained flats.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-109,,"""19-21 Frances Street""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2018-02-09,,,5,"""17/2868 Construction of two additional floors including alterations and additions to first floor, and new 4 storey rear extension for the creation of 6x1-bedroom flats, communal garden, and ancillary works.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-110,,"""1-3 Woodrow""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,2018-04-24,,,7,"""17/3226 Demolition of existing units and construction of 8 residential dwellings (6x3-bed and 2x2-bed) 6 fronting Woodrow and 2 fronting Godfrey Road.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-111,,"""J Muir & Co (Bookbinders) Ltd, 64-68 Blackheath Road""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.08,Unknown ownership,Yes,Permissioned,Full planning permission,2018-05-04,,,24,"""17/3338 Demolition of existing buildings and redevelopment of the site providing 83sqm of commercial use and 24 residential units""","""83sqm of commercial use""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-112,,"""3 Weigall Road""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2018-02-23,,,4,"""17/3754 Demolition of the existing building to allow for the construction of 5 no. Apartments (3x 1 bedroom & 2x 2 bedroom) and associated works.""",,,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-113,,"""J N Handley & Son, 19-20 Vincent Road""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,,,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,2018-09-17,,,8,"""18/2163 Demolition of existing building and construction of a 5 storey building (plus basement) comprising 8 no. units (4 x 1 bed and 4 x 2 bed) for residential use, and 269sq.m of office floorspace (Class B1) at ground and basement level, provision of associated cycle space, refuse and recycling storage, plant and green roof.""","""269sq.m of office floorspace (Class B1) at ground and basement level""",,,,,,"""Not started.""",2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
