EASTING,NORTHING,SITENAME,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,OWNERSHIP,NOTES,FIRSTADDED,LASTUPDATE,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,PREVIOUSLY,SITEPLANUR,DELIVERABL,PERMTYPE,PERMDATE,PROPFORPIP,MINNETDWEL,DEVDESCR,NONHOUSING,SITEINFORM,PART2,NETRANGEFR,NETRANGETO,SITEREF,HAZSUB,SHAPE_AREA,SHAPE_LEN
"358,108.25","405,874.11",Galloways 60 Market Street Wigan,OSGB36,0.01,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357808.24876564,406024.10581494,358408.24876564,405724.10581494,27700",Not owned by a public authority,A/15/81472 refers,01/04/2016, ,53.547834,-2.633709,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0342",Yes,Full planning permission,04/02/2016, ,6,"Conversion of offices to 6 one bedroomed apartments""""", , , , , ,SHLAA0342,,116.5091,52.31257398
"356,510.94","406,664.29",Land Corner of Whitworth Way Wigan,OSGB36,0.58,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356210.93938611,406814.29296278,356810.93938611,406514.29296278,27700",Unknown ownership, ,01/04/2016, ,53.554806,-2.657924,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0237", , , , ,17, , , , , , ,SHLAA0237,,"5,846.42",324.278695
"365,832.20","399,612.34",Bridgewater Business Park West Bridgewater Street Leigh,OSGB36,9.87,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365532.2024097,399762.34022692,366132.2024097,399462.34022692,27700",Not owned by a public authority,A/15/80681 refers,01/04/2016,22/11/2017,53.492116,-2.516457,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0200",Yes,Outline planning permission,16/11/2017, ,372,"Erect upto 372 dwellings""""", , , , , ,SHLAA0200,,"98,669.47","1,959.20"
"361,286.72","403,885.33",Land at Liverpool Road and Harper Street Hindley,OSGB36,0.25,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360986.71623166,404035.32938861,361586.71623166,403735.32938861,27700",Mixed ownership, ,01/04/2016, ,53.530205,-2.585494,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0074", , , , ,11, , , , , , ,SHLAA0074,,"2,464.00",221.1123117
"359,801.29","405,349.55",Higher Ince Social Club Empress Ind Est Anderton Street Ince,OSGB36,0.15,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359501.28652321,405499.55369421,360101.28652321,405199.55369421,27700",Not owned by a public authority,A/16/81943 refers,01/04/2016,31/07/2017,53.543253,-2.60809,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0348",Yes,Full planning permission,01/12/2016, ,11,"Erect 8 two bedroomed and 3 three bedroomed dwellings""""", , , , , ,SHLAA0348,,"1,457.43",171.2837735
"358,103.90","405,469.51",Tower Buildings And 58-58a And 60 Wallgate Wigan,OSGB36,0.11,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357803.89595688,405619.51441685,358403.89595688,405319.51441685,27700",Not owned by a public authority,A/16/81981 refers,01/04/2016,31/07/2017,53.544198,-2.63372,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0187",Yes,Full planning permission,16/09/2016, ,20,"Change of use from D2 to 17 one bedroomed 2 two bedroomed apartments and 1 one bedroomed studio apartment""""", , , , , ,SHLAA0187,,"1,055.80",168.3208617
"357,685.25","405,014.36",Eckersley Mill Swan Meadow Road Wigan,OSGB36,5.7,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357385.25389187,405164.3638028,357985.25389187,404864.3638028,27700",Not owned by a public authority,A/08/70960 refers,01/04/2016,04/10/2017,53.540073,-2.639976,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0131",Yes,Full planning permission,18/08/2017, ,315,"Erect 315 dwellings""""", , , , , ,SHLAA0131,,"56,957.87","1,026.63"
"356,897.80","410,969.51",Land At Bradley Hall Trading Estate Bradley Lane Standish,OSGB36,5.61,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356597.80083006,411119.5106937,357197.80083006,410819.5106937,27700",Not owned by a public authority,A/13/77974 refers,01/04/2016, ,53.593533,-2.65268,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0135",Yes,Outline planning permission,14/11/2014, ,148,"Erect 148 dwellings""""", , , , , ,SHLAA0135,,"56,097.35","1,238.73"
"357,894.31","406,621.69",Wigan and Leigh College Pagefield Building Bridgeman Terrace Wigan,OSGB36,3.36,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357594.3087772,406771.69333651,358194.3087772,406471.69333651,27700",Not owned by a public authority, ,01/04/2016, ,53.554536,-2.637038,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0126", , , , ,250, , , , , , ,SHLAA0126,,"33,646.56",862.1614349
"362,152.22","403,633.60",Hindley Learning Centre Park Road/Close Lane Hindley,OSGB36,1.52,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=361852.22256013,403783.59737719,362452.22256013,403483.59737719,27700",Owned by public authority,A/17/84261 refers,01/04/2016,31/07/2017,53.528006,-2.572408,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0117",Yes ,Full planning permission ,26/10/2017, ,60, , , , , , ,SHLAA0117,,"15,241.74",492.2811503
"354,205.48","404,716.45",Former Abraham Guest High School Orrell Road Orrell,OSGB36,2.02,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=353905.48224716,404866.45240296,354505.48224716,404566.45240296,27700",Owned by public authority,A/15/80243 refers,01/04/2016, ,53.537104,-2.692436,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0078", , , , ,131, , , , , , ,SHLAA0078,,"20,190.37",707.5563886
"357,485.25","405,853.97",Land adj to Frog Ln Depot (former fork lift truck company) Frog Ln Wigan,OSGB36,1.85,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357185.24550353,406003.97477993,357785.24550353,405703.97477993,27700",Not owned by a public authority,A/16/83282 refers,01/04/2016,31/07/2017,53.547603,-2.643108,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0128", , , , ,57, , , , , , ,SHLAA0128,,"12,179.38",496.6476288
"359,920.65","402,682.36",Land at Calder Drive Platt Bridge,OSGB36,4.24,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359620.64945919,402832.35741147,360220.64945919,402532.35741147,27700",Owned by public authority,A/16/83258 refers,01/04/2016,04/10/2017,53.51929,-2.605947,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0101",Yes,Full planning permission,07/09/2017, ,156,"Erect 156 dwellings""""", , , , , ,SHLAA0101,,"42,383.16","1,474.40"
"357,156.59","399,831.90","Open Land North Of 2 Low Bank Road, Ashton",OSGB36,0.23,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356856.58853832,399981.90099824,357456.58853832,399681.90099824,27700",Not owned by a public authority,A/14/79703 refers,01/12/2014, ,53.493345,-2.647242,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0189",Yes,Full planning permission,20/11/2017, ,8,"Erect 8 three bedroomed dwellings""""", , , , , ,SHLAA0189,,"2,303.23",281.8866774
"369,141.42","403,017.16",Lancaster Avenue Tyldesley,OSGB36,0.93,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=368841.42481635,403167.15549258,369441.42481635,402867.15549258,27700",Owned by public authority,A/17/84075/OUTMAJ  refers,20/11/2017, ,53.522925,-2.466918,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0046", , , , ,41, , , , , , ,SHLAA0046,,"9,313.96",463.4423366
"366,304.66","399,733.37","Mather House, Mather Lane, Leigh",OSGB36,0.36,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=366004.66236213,399883.37252618,366604.66236213,399583.37252618,27700",Not owned by a public authority,A/15/80496 refers,20/11/2017, ,53.493234,-2.509349,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0055",Yes,Full planning permission,23/12/2017, ,100,"Change of use to 100 apartments""""", , , , , ,SHLAA0055, ,"3,601.37",250.0737771
"359,645.44","403,685.60",Former Ince St Marys CE Primary School Derby Street Ince,OSGB36,1.4,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359345.43830221,403835.60279446,359945.43830221,403535.60279446,27700",Owned by public authority, ,20/11/2017, ,53.528286,-2.610227,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0064", , , , ,42, , , , , , ,SHLAA0064, ,"13,984.94",575.0805991
"361,742.23","404,653.82",Amberswood/Hydelle Lodge King Street Hindley,OSGB36,1.35,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=361442.23032916,404803.8206874,362042.23032916,404503.8206874,27700",Owned by public authority, ,20/11/2017, ,53.537146,-2.578717,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0109", , , , ,32, , , , , , ,SHLAA0109,,"13,518.90",496.4488774
"367,061.79","403,510.87","Collier Brook Farm, Bag Lane, Atherton",OSGB36,0.47,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=366761.79085589,403660.8657138,367361.79085589,403360.8657138,27700",Not owned by a public authority, ,20/11/2017, ,53.527235,-2.498337,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0148", , , , ,16, , , , , , ,SHLAA0148,,"4,683.22",324.3778027
"356,889.48","401,833.48",Site of Cranberry Hotel and 641-643 Wigan Road,OSGB36,0.48,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356589.47524012,401983.48419509,357189.47524012,401683.48419509,27700",Not owned by a public authority, ,20/11/2017, ,53.511419,-2.651544,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0153", , , , ,15, , , , , , ,SHLAA0153,,"4,832.41",333.4351326
"364,916.72","402,533.36",269 Westleigh Lane Leigh WN7 5PW,OSGB36,0.28,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364616.71939253,402683.35866793,365216.71939253,402383.35866793,27700",Not owned by a public authority,A/16/82969 refers,20/11/2017, ,53.51831,-2.530583,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0393",Yes,Outline planning permission,27/10/2016, ,17,"Erect 17 two bedroomed Dwellings""""", , , , , ,SHLAA0393, ,"2,820.02",254.3440889
"362,263.90","403,864.94",Open Land East Of 242 Atherton Road Hindley,OSGB36,0.15,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=361963.90131972,404014.93791139,362563.90131972,403714.93791139,27700",Not owned by a public authority,A/17/83832 refers,20/11/2017, ,53.530093,-2.570751,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0399",Yes,Full planning permission,05/07/2017, ,7,"Erect 7 three bedroomed dwellings""""", , , , , ,SHLAA0399,,"1,506.48",185.2710516
"365,260.51","401,129.51",Jury Street Briggs Street Leigh,OSGB36,1.25,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364960.50536627,401279.51283507,365560.50536627,400979.51283507,27700",Owned by public authority, ,20/11/2017, ,53.505715,-2.525242,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0408", , , , ,66, , , , , , ,SHLAA0408,,"12,500.80","1,375.49"
"366,206.08","400,056.50",Land At Premier House High Street Leigh WN7 2AD,OSGB36,0.6,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365906.07570195,400206.501062,366506.07570195,399906.501062,27700",Not owned by a public authority, ,20/11/2017, ,53.496132,-2.51087,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0409", , , , ,57, , , , , , ,SHLAA0409,,"6,014.31",307.2550669
"359,081.75","406,641.62",Site Of Whelley Hospital Bradshaw Street Wigan WN1 3XD,OSGB36,1.04,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358781.75047857,406791.62069074,359381.75047857,406491.62069074,27700",Owned by public authority,A/17/84270 refers,20/11/2017, ,53.55481,-2.619118,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,SHLAA0125," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0125A", , , , ,38, , , , , , ,SHLAA0125A,,"10,397.63",508.2601656
"358,706.72","405,459.73",40 Warrington Lane Wigan,OSGB36,0.04,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358406.71622379,405609.73169944,359006.71622379,405309.73169944,27700",Not owned by a public authority, ,20/11/2017, ,53.544158,-2.624622,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0231", , , , ,5, , , , , , ,SHLAA0231, ,401.117167,102.2702296
"362,358.74","396,800.87",St Catherine of Siena RC Church Newton Road Lowton,OSGB36,0.77,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=362058.74477619,396950.86505496,362658.74477619,396650.86505496,27700",Mixed ownership, ,31/07/2017, ,53.466608,-2.56847,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0243", , , , ,23, , , , , , ,SHLAA0243, ,"7,692.60",368.8739595
"358,511.14","407,594.30","Leyland Mill, Wigan",OSGB36,1.59,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358211.13805999,407744.29548402,358811.13805999,407444.29548402,27700",Not owned by a public authority, ,31/07/2017, ,53.563327,-2.627857,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0023", , , , ,33, , , , , , ,SHLAA0023,,"15,898.22",606.4123806
"358,494.55","406,080.52",Land at Worsley Terrace Wigan,OSGB36,0.43,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358194.54709115,406230.52469493,358794.54709115,405930.52469493,27700",Not owned by a public authority,A/17/84707 refers,31/07/2017,08/12/2017,53.549744,-2.627592,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0319",,,,,52,,,,,,,SHLAA0319,,"4,321.75",448.6259467
"357,346.53","400,024.56",Site Of Former Manse 233 Wigan Road Ashton-In-Makerfield,OSGB36,0.28,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357046.53396726,400174.56340093,357646.53396726,399874.56340093,27700",Not owned by a public authority,A/15/81226 and A/17/83586 refer,31/07/2017, ,53.495199,-2.644406,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0387",Yes,Full planning permission,24/09/2015, ,5,"Erect 5 four bedroomed detached dwellings""""", , , , , ,SHLAA0387,,"2,769.23",253.6429206
"357,207.59","404,161.43",Worsley Mesnes Regeneration sites,OSGB36,3.37,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356907.59367425,404311.43020361,357507.59367425,404011.43020361,27700",Owned by public authority,Part of the larger Worsley Mesnes Regeneration area,12/12/2017,12/12/2017,53.533065,-2.644344,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0113",,,,,108,,,,,,,SHLAA0113A,,"33,725.61","2,004.16"
"372,262.41","402,004.67",The Chapel City Road Worsley,OSGB36,0.11,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=371962.41274018,402154.67095158,372562.41274018,401854.67095158,27700",Not owned by a public authority,A/17/83731 refers,31/07/2017, ,53.513999,-2.419754,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0390",Yes,Outline planning permission,04/05/2017, ,5,"Erect 5 three bedroomed dwellings""""", , , , , ,SHLAA0390,,"1,089.83",136.9428097
"369,000.85","400,849.34",Vyna House North Lane Tyldesley Manchester M29 7AB,OSGB36,0.51,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=368700.85319009,400999.34457885,369300.85319009,400699.34457885,27700",Not owned by a public authority,A/16/81994 refers,31/07/2017, ,53.503432,-2.468823,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0385",Yes,Full planning permission,25/01/2017, ,32,"Erect 14 four bedroomed dwellings 12 two bedroomed and 6 one bedroomed apartments""""", , , , , ,SHLAA0385,,"5,056.84",290.6187503
"365,456.84","400,987.92",The Victoria 68 - 70 Kirkhall Lane Leigh WN7 1SA,OSGB36,0.03,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365156.83975777,401137.92114133,365756.83975777,400837.92114133,27700",Not owned by a public authority,A/16/83329 refers,31/07/2017, ,53.504455,-2.522267,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0382",Yes,Full planning permission,19/01/2017, ,6,"Conversion from A4 to 6 one bedroomed apartments""""", , , , , ,SHLAA0382,,289.8589375,76.47268122
"360,452.54","406,938.46",Former Hovis Bakery Cale Lane New Springs,OSGB36,4.45,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360152.54472364,407088.46446211,360752.54472364,406788.46446211,27700",Not owned by a public authority,A/17/83721 refers,31/07/2017, ,53.557584,-2.598465,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0375", , , , ,100, , , , , , ,SHLAA0375,,"44,469.14",990.0037506
"360,659.41","406,390.02",Kirkless Industrial Estate Cale Lane Aspull,OSGB36,9.66,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360359.4078715,406540.02451191,360959.4078715,406240.02451191,27700",Not owned by a public authority,A/15/81125 refers,31/07/2017,12/12/2017,53.55267,-2.595273,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0377",Yes ,Outline planning permission,25/10/2017, ,301,"Erect 94 two bedroomed 124 three bedroomed and 23 four bedroomed dwellings"""" ", , , , , ,SHLAA0377,,"96,644.08","1,370.46"
"363,846.26","402,234.22",Mechanics Arms 277 Leigh Road Hindley Green Wigan WN2 4XW,OSGB36,0.1,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=363546.26373074,402384.22058419,364146.26373074,402084.22058419,27700",Not owned by a public authority,A/15/81669 refers,31/07/2017, ,53.515548,-2.546692,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0386",Yes,Full planning permission,24/02/2017, ,7,"Change of use from A4 to 7 three bedroomed  dwellings""""", , , , , ,SHLAA0386,,985.977149,133.0522482
