OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chesterfield,,385,"""Former Social Club, Saltergate, Chesterfield""",437754,371423,https://www.chesterfield.gov.uk/media/562156/385-former-social-club-saltergate-chesterfield.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,29/03/2016,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=O0J36IEP03B00,,10,10,Yes,Full planning permission received. Under construction.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,386,"""Littlemoor Shopping Centre, Littlemoor Centre, Chesterfield""",437051,373342,https://www.chesterfield.gov.uk/media/562159/386-littlemoor-shopping-centre-littlemoor-centre-s41-8qw.pdf,0.24,not owned by a public authority,,permissioned,full planning permission,26/04/2016,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0014R7EPLI000,,10,10,Yes,Full planning permission received. Work on site commenced.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,387,"""Avondale Surgery, 3 - 5 Avondale Road, Chesterfield, Derbyshire, Chesterfield""",437638,371778,https://www.chesterfield.gov.uk/media/562162/387-avondale-surgery-3-5-avondale-road-chesterfield.pdf,0.12,not owned by a public authority,,permissioned,full planning permission,14/12/2015,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000A1SEPLI000,,6,6,Yes,Full planning permission received. New permission pending consideration.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,388,"""Hady Miners Welfare Club, Houldsworth Drive, Hady, Chesterfield""",440104,370563,https://www.chesterfield.gov.uk/media/562165/387-hady-miners-welfare-club-houldsworth-drive-hady.pdf,0.12,not owned by a public authority,,permissioned,reserved matters approval,08/11/2017,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OQG3HVEPL2L00&activeTab=summary&previousCaseNumber=CHE%2F17%2F00375%2FREM&keyVal=0001PLEPLI000,,6,6,Yes,Reserved matters permission received. Currently under construction.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,389,"""Post Office, 1, Market Place, Chesterfield""",438154,371137,https://www.chesterfield.gov.uk/media/562168/389-post-office-1-market-place-chesterfield.pdf,0.06,not owned by a public authority,,permissioned,full planning permission,20/06/2018,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O7Q0TDEPISM00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00345%2FFUL&keyVal=0000UIEPLI000,,10,10,Yes,Full planning permission received.,19/12/2017,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,390,"""Jacksons Bakery, New Hall Road, Chesterfield""",436546,370913,https://www.chesterfield.gov.uk/media/562171/390-jacksons-bakery-new-hall-road-chesterfield.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,22/11/2016,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0014H4EPLI000,,7,7,Yes,Full planning permission received.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,393,"""Fridays Chip Shop, 109 Highfield Road, Chesterfield, Derbyshire, Chesterfield""",437701,372335,https://www.chesterfield.gov.uk/media/562174/393-fridays-chip-shop-109-highfield-road-chesterfield.pdf,0.09,not owned by a public authority,,not permissioned,,08/04/2015,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00174IEPLI000,,5,5,Yes,Outline permission lapsed April 2018.,19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,407,"""Commerce Centre, Canal Wharf, Chesterfield""",438558,372128,https://www.chesterfield.gov.uk/media/824282/407-commerce-centre-canal-wharf.pdf,0.72,not owned by a public authority,,permissioned,reserved matters approval,16/04/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000PUIEPLI000,,31,34,Yes,REM approved. Building work commenced.,11/12/2018,10/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,415,"""Land Used For Storage and Premises Goyt Side Road, Chesterfield""",437098,370759,https://www.chesterfield.gov.uk/media/824249/415-land-used-for-storage-and-premises-goyt-side-road-chesterfield.pdf,0.22,not owned by a public authority,,permissioned,outline planning permission,12/12/2017,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010KREPLI000,,8,8,Yes,Outline permission received.,11/12/2018,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,420,"""The Elm Tree Inn, High Street, Staveley""",437007,370746,https://www.chesterfield.gov.uk/media/824252/420-the-elm-tree-inn-high-street-staveley.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,07/12/2017,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000M6SEPLI000,,23,23,Yes,Full planning permission received.,11/12/2018,11/12/2018,
