OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_031,"Carter and Son Scrap Metal And Breakers Yard, Aldershot Road, Worplesdon, Guildford, GU3 3HF",,,https://www.guildford.gov.uk/media/26707/Former-scrap-yard-Aldershot-Road-Worplesdon/pdf/BFLR2017_031,1.7,not owned by a public authority,,permissioned,full planning permission,2017-10-17,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_165613,,,yes,"""Application ref. 15/P/01987 """,2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_032,"Land and buildings at Guildford Railway Station, Guildford ",,,https://www.guildford.gov.uk/media/26708/Land-and-buildings-at-Guildford-Railway-Station-Guildford-/pdf/BFLR2017_032,2.2,not owned by a public authority,,permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_157038,,,,"""Local Plan allocation ref. A7. Application 14/P/02168 refused 30/6/16; appeal APP/Y3615/W/16/3161412 allowed (corrected decision issued on 27/2/18).""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_033,"Bright Hill Car Park, Sydenham Road, Guildford",,,https://www.guildford.gov.uk/media/26709/Bright-Hill-Car-Park-Sydenham-Road-Guildford/pdf/BFLR2017_033,0.47,owned by a public authority,,not permissioned,,,,50,50,,"""Local Plan allocation ref. A12""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_034,"North Street redevelopment, Guildford",,,https://www.guildford.gov.uk/media/26710/North-Street-redevelopment-Guildford/pdf/BFLR2017_034,3.47,mixed ownership,,not permissioned,,,,400,400,,"""Local Plan allocation ref. A6. Mixed ownership as GBC owns freehold, however M&G have a long leasehold over much of the site and there are multiple shorter leases on other parts.""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_035,"Treetops Boarding Kennels and Loxhill Nursery, Old Portsmouth Road, Peasmarsh, Guildford, GU3 1LN",,,https://www.guildford.gov.uk/media/26711/Treetops-Kennels-and-Loxhill-Nursery-Old-Portsmouth-Road-Guildford/pdf/BFLR2017_035,2,not owned by a public authority,,permissioned,full planning permission,2018-02-20,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177231,,,yes,"""Application 17/P/00801 proposes 39 dwellings plus demolition of existing buildings (boarding kennels, cattery and operator's dwelling).  Appeal APP/Y3615/W/17/3180620 allowed subject to conditions 18 June 2018.""",2017-12-05,2018-10-19,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_036,"Kernal Court, Walnut Tree Close, Guildford",,,https://www.guildford.gov.uk/media/26712/Kernal-Court-Walnut-Tree-Close-Guildford/pdf/BFLR2017_036,0.55,not owned by a public authority,,not permissioned,,,,100,100,yes,"""Local Plan allocation ref. A13""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_037,"Old Reservoir, Oxford Terrace off Sydenham Road, Guildford",,,https://www.guildford.gov.uk/media/26713/Old-Reservoir-Oxford-Terrace-off-Sydenham-Road-Guildford/pdf/BFLR2017_037,0.1,not owned by a public authority,,not permissioned,,,,5,5,,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_038,"The Forge, 129 Ash Street, Ash",,,https://www.guildford.gov.uk/media/26714/The-Forge-129-Ash-Street-Ash/pdf/BFLR2017_038,0.13,not owned by a public authority,,not permissioned,,,,5,5,,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_039,"1 Ward Street, Guildford",,,https://www.guildford.gov.uk/media/26715/1-Ward-Street-Guildford/pdf/BFLR2017_039,0.02,not owned by a public authority,,permissioned,full planning permission,2018-04-06,http://www2.guildford.gov.uk/publicaccess/simpleSearchResults.do?action=firstPage,,,,"""Application ref. 17/P/02566""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_040,"Kingdom Hall, 236 High Street, Guildford",,,https://www.guildford.gov.uk/media/26716/Kingdom-Hall-236-High-Street-Guildford/pdf/BFLR2017_040,0.03,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_100016,6,6,,"""Application 08/P/00884 refused on 6 August 2008 - Erection of six storey building comprising 10 flats with 6 cycle spaces and replacement meeting hall following demolition of existing building.""",2017-09-27,2018-12-03,
