OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR39,Sovereign House Bond Street,-1.632339,52.798699,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.07,not owned by a public authority,,permissioned,other,2017-04-12,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Prior Approval for the change of use from office use (Class B1) to form 8 apartments (Class C3),2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR40,70 Guild Street Burton upon Trent,-1.632801,52.805523,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.06,not owned by a public authority,,permissioned,full planning permission,2017-09-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,7,7,yes,"Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Demolition of existing outbuildings to facilitate the conversion of existing Class A1 (shop), Class B1 (Business) and dwelling house on first floor to form 7 dwellings comprising 5 No. two bedroom units and 2 No. one bedroom units.",2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR41,67-69 Main Street Stapenhill,-1.623607,52.793116,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.11,not owned by a public authority,,permissioned,full planning permission,2019-04-29,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,6,6,yes,Site included in the Housing Permissions  - Not yet commenced. Erection of a terrace of 6 dwellings,2018-09-30,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR44,Land Adjacent To Grange Close Burton upon Trent,-1.645382,52.810776,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.18,not owned by a public authority,,permissioned,full planning permission,2017-10-10,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,yes,Site included in the Housing Permissions  - Not yet commenced. Demolition of existing garages to facilitate the erection of 8 dwellings comprising of four pairs of semi detached dwellings with associated car parking,2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR45,Burton Enterprise Centre,-1.643003,52.809618,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.25,not owned by a public authority,,permissioned,other,2017-10-31,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,25,25,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Prior Approval for the change of use from office use (Class B1a) to form 25 dwellings (Class C3),2018-09-30,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR47,The Maltings Wetmore Road,-1.627455,52.809687,http://www.eaststaffsbc.gov.uk/planning/planning-policy,3.6,not owned by a public authority,,permissioned,full planning permission,2017-12-22,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,90,90,yes,"Site included in the Housing Permissions  - Not yet commenced. Conversion and alterations of existing Transport Office to form two flats, conversion of existing Security Office to form one flat, conversion of storage/office building to provide 87 flatsr",2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR49,63 New Street Burton upon Trent,-1.636733,52.801823,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.08,not owned by a public authority,,permissioned,full planning permission,2018-03-23,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,6,6,yes,"Site included in the Housing Permissions  - Not yet commenced. Change of use of public house and flats to two retail units, five apartments and erection of a dwelling",2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR50,11-12 Tutbury Road Burton upon Trent,-1.648531,52.825006,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.08,not owned by a public authority,,permissioned,outline planning permission,2018-06-15,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,10,10,yes,"Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Demolition of existing building to facilitate an outline application for erection of two buildings to form 10 apartments including details of access, appearance, layout and scale",2018-09-30,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR52,Molson Coors South Brewery,-1.63704,52.804089,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2.37,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,100,100,yes,,2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR53,The Old Sunday School (front & middle) 3 George Street,-1.63399,52.805167,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.07,not owned by a public authority,,permissioned,full planning permission,2018-10-17,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,6,6,yes,Site included in the Housing Permissions  - Not yet commenced. Conversion of former Sunday School Hall into 6 apartments (Class C3),2019-09-30,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR54,Plough Inn 7 Ford Street Stapenhill,-1.626082,52.789852,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.14,not owned by a public authority,,permissioned,outline planning permission,2018-10-19,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,yes,Site included in the Housing Permissions  - Not yet commenced. Outline application for the erection of up to 8 dwellings and demolition of existing public house,2019-09-30,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR55,1 Victoria Street Burton Upon Trent,-1.6416,52.810629,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.06,not owned by a public authority,,permissioned,outline planning permission,2019-04-29,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,5,5,yes,Site included in the Housing Permissions  - Not yet commenced. Outline application for a detached building comprising 5 apartments,2019-09-30,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR56,2-3 St Pauls Square Burton Upon Trent,-1.6416,52.807769,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.12,not owned by a public authority,,permissioned,other,2019-05-16,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,yes,Site included in the Housing Permissions  - Not yet commenced. Prior Approval for the conversion of offices (Class B1) to form 8 residential flats,2019-09-30,2019-09-30,
