OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
E06000041,Wokingham Borough Council,BR210,Riseley Business Park Basingstoke Road Riseley Reading RG7 1NW,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,472255,163340,0.7754805,not owned by a public authority,Yes,permissioned,full planning permission,2016-05-27,161065,,26,Prior approval submission for the conversion of 3no existing office buildings (Use Class B1(a)) to 47no residential apartments (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR211,"Waterloo House, Riseley Business Park Basingstoke Road Riseley RG71QF",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,472228,163287,4.7039841,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-21,161444,,10,Prior approval submission for the conversion of existing office building (Use Class B1(a)) to 10no residential apartments (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR212,498 Reading Road Winnersh Berkshire RG41 5EX,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477600,170891,9.777077,not owned by a public authority,Yes,permissioned,Other,2017-11-03,172734,,8,Prior approval for proposed change of use from Offices to 8 residential apartments.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR213,"12 Oaklands Business Centre, Oaklands Park Wokingham RG412FD",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480088,167442,0.2115413,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-29,172050,,18,Prior approval submission for the conversion of existing office building (Use Class B1(a)) to 18no residential apartments (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR214,Crown House Toutley Industrial Estate RG41 1QN,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480065,170571,0.1548286,not owned by a public authority,Yes,permissioned,full planning permission,2017-03-09,170415,,24,Notification for prior approval for the proposed change of use from office (B1) to Residential (C3) use for 24 residential apartments.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR215,Crown House Toutley Industrial Estate RG41 1QN,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480065,170571,0.1548124,not owned by a public authority,Yes,permissioned,full planning permission,2016-12-01,163140,,0,Prior approval submission for the conversion of existing offices (use class B1 (a)) to 22 x 1 bedroom flats (use class C3),No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR217,"Baileys House Central Walk
Wokingham 
RG40 1AZ",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,481163,168668,9.1597078,not owned by a public authority,Yes,permissioned,full planning permission,2018-03-09,172772,,8,Prior approval for proposed change of use from Offices to 8 residential dwelling units.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR218,Quoin House Fishponds Road RG41 2QJ,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480370,167916,0.3469857,not owned by a public authority,Yes,permissioned,full planning permission,2018-02-27,180318,,23,Prior approval submission for the conversion of existing offices (use class B1 (a)) to 23 apartments (use class C3),No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR219,"Loddon Vale House, Hurricane Way, Woodley RG5 4UX",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477341,173430,4.4580278,not owned by a public authority,Yes,permissioned,full planning permission,2017-09-15,172171,,10,Prior approval submission for the conversion of existing offices to 10 residential units.,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR220,"North Wokingham - Matthewsgreen Farm, Phase 4",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480475,169968,10.030157,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2017-02-14,172751,,243,Application for the approval of Reserved Matters pursuant to Outline planning consent O/2014/2242 for the erection of 253 residential dwellings,No,,,,,,,2018-04-01,2018-12-10
