Organisation URL,Organisation Label,Site Reference,Land Type,Alt Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Proposed Use,C2 (RI),C3 (H),C3 (HOP),C3 (SB/CB),Sui Generis,Other,A1,A2,A3,A4,A5,AA,B1,B2,B8,C1,D1,D2,Other.1,First Added date,Last Updated date,Part 2,Net Dwellings Range From,New Dwellings Range to,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0029,brownfield,15/0917,,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0917/0917-SiteLocationPlan.pdf,363887.0,523574.0,0.1076,not owned by a public authority,Y,permission,full planning permission,2016-06-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0603&ApplicationNumber=07%2F0603&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0288&ApplicationNumber=08%2F0288&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0689&ApplicationNumber=10%2F0689&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0400&ApplicationNumber=11%2F0400&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0633&ApplicationNumber=15%2F0633&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0728&ApplicationNumber=15%2F0728&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0917&ApplicationNumber=15%2F0917&AddressPrefix=&Postcode=&Submit=Search,,3.0,Erection of 3 detached bungalows.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0030,brownfield,16/0285,,"26 Queen Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0285/DCLOCP-16-0285-Location%20Plan.pdf,351520.0,530293.0,0.01725,not owned by a public authority,Y,permission,full planning permission,2016-06-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0266&ApplicationNumber=16%2F0266&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0285&ApplicationNumber=16%2F0285&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0308&ApplicationNumber=16%2F0308&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0644&ApplicationNumber=17%2F0644&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0645&ApplicationNumber=17%2F0645&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use from retail storage to a 2 bedroom flat.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0031,brownfield,15/0633,,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0633/0633-P-01_Existing_Site_and_Location_Plan%20%20A1.pdf,363887.0,523574.0,0.2947,not owned by a public authority,Y,permission,full planning permission,2016-06-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0603&ApplicationNumber=07%2F0603&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0288&ApplicationNumber=08%2F0288&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0689&ApplicationNumber=10%2F0689&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0400&ApplicationNumber=11%2F0400&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0633&ApplicationNumber=15%2F0633&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0728&ApplicationNumber=15%2F0728&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0917&ApplicationNumber=15%2F0917&AddressPrefix=&Postcode=&Submit=Search,,2.0,Proposed refurbishment of gate house and bungalow to form two dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0032,brownfield,15/1150,,"3 Castlegate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1150/1150-site-loc-plan.pdf,351453.0,530076.0,0.0084,not owned by a public authority,Y,permission,full planning permission,2016-07-08,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0841&ApplicationNumber=14%2F0841&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0212&ApplicationNumber=15%2F0212&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1150&ApplicationNumber=15%2F1150&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0925&ApplicationNumber=16%2F0925&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1005&ApplicationNumber=16%2F1005&AddressPrefix=&Postcode=&Submit=Search,,1.0,Proposed change of use of part of shop to bedsit.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GRE/0033,brownfield,16/0218,,"Mayflower Cottage, Greystoke Gill",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0218/Site%20Location%20Plan.pdf,345013.0,529776.0,1.5,not owned by a public authority,Y,permission,full planning permission,2016-08-18,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0551&ApplicationNumber=08%2F0551&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0218&ApplicationNumber=15%2F0218&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0063&ApplicationNumber=17%2F0063&AddressPrefix=&Postcode=&Submit=Search,,2.0,Reinstatement of Mayflower and Ghyll Cottages into two dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/STM/0034,brownfield,15/0555,,"North Stainmore Methodist Church, North Stainmore",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0555/0555-Location_Map-A4.pdf,383550.0,514896.0,0.029,not owned by a public authority,Y,permission,full planning permission,2016-09-20,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0555&ApplicationNumber=15%2F0555&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use of former methodist chapel to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ALS/0035,brownfield,16/0468,,"Former Barclays Bank Chambers, Front Street, Alston",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0468/DCLOCP-16-0468-Location&Floor-PlansDA15023%20-%20Barclays%20Bank%20Chambers%20-%20002%20-%20Planning.pdf,371912.0,546424.0,0.01,not owned by a public authority,Y,permission,full planning permission,2016-09-15,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0563&ApplicationNumber=06%2F0563&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0048&ApplicationNumber=09%2F0048&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0391&ApplicationNumber=15%2F0391&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0468&ApplicationNumber=16%2F0468&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use from A1 to C3 (dwelling.),,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BLW/0036,brownfield,16/0717,,"Crown Inn, Blencow",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0717/160717-Site-Location-Plan.pdf,345384.0,532840.0,0.1,not owned by a public authority,Y,permission,full planning permission,2016-09-26,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0443&ApplicationNumber=12%2F0443&AddressPrefix=&Postcode=&Submit=Search  │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0176&ApplicationNumber=13%2F0176&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0177&ApplicationNumber=13%2F0177&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0717&ApplicationNumber=16%2F0717&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0900&ApplicationNumber=17%2F0900&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use of public house to dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PLU/0037,brownfield,16/0054,,"Plumpton Head, Plumpton",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0054/0054-Site%20Location%20Plan%20Barn%20B-D-E%201-1250%20A3.pdf,350193.0,534956.0,0.1532,not owned by a public authority,Y,permission,full planning permission,2016-10-04,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0054&ApplicationNumber=16%2F0054&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0055&ApplicationNumber=16%2F0055&AddressPrefix=&Postcode=&Submit=Search,,3.0,Erection of 2 affordable dwellings and conversion of agricultural building to market dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0038,brownfield,16/0299,,"Acorn Guest House, Scotland Road, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0299/DCLOCP-160299-Loc-Plan.pdf,351090.0,530885.0,0.01,not owned by a public authority,Y,permission,full planning permission,2016-10-03,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0614&ApplicationNumber=13%2F0614&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0299&ApplicationNumber=16%2F0299&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0550&ApplicationNumber=17%2F0550&AddressPrefix=&Postcode=&Submit=Search,,1.0,Extension to create additional residential unit.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0039,brownfield,16/0803,,"Potlands House, South Road, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0803/160803-Location-Plan.pdf,377104.0,507740.0,0.04,not owned by a public authority,Y,permission,full planning permission,2016-10-25,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0306&ApplicationNumber=10%2F0306&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0803&ApplicationNumber=16%2F0803&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0030&ApplicationNumber=17%2F0030&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0075&ApplicationNumber=17%2F0075&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use from commercial to domestic dwelling.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0040,brownfield,16/0917,,"Garages adjacent to Sim Court House, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0917/160917-Proposed%20Site%20Plan.pdf,352216.0,529686.0,0.03,not owned by a public authority,Y,permission,full planning permission,2016-12-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0917&ApplicationNumber=16%2F0917&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0573&ApplicationNumber=17%2F0573&AddressPrefix=&Postcode=&Submit=Search,,3.0,Erection of 3 bungalows for sheltered housing.,,housing land,,,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0041,brownfield,16/0978,,"Platinum Chinese restaurant, 19 King Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0978/16-0978-Site%20Location%20Plan.pdf,351687.0,530025.0,0.02,not owned by a public authority,Y,permission,full planning permission,2016-12-22,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0450&ApplicationNumber=16%2F0450&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0516&ApplicationNumber=16%2F0516&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0978&ApplicationNumber=16%2F0978&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0984&ApplicationNumber=16%2F0984&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0623&ApplicationNumber=17%2F0623&AddressPrefix=&Postcode=&Submit=Search,,2.0,Extension to create 2 flats.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/STA/0042,brownfield,16/0970,,"Building land at The Mains, Stainton",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0970/16-0970-SiteAndLocationPlan.pdf,348570.0,528071.0,0.12,not owned by a public authority,Y,permission,full planning permission,2017-03-16,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/0205&ApplicationNumber=04%2F0205&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/0006&ApplicationNumber=05%2F0006&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0530&ApplicationNumber=08%2F0530&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0253&ApplicationNumber=10%2F0253&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0332&ApplicationNumber=10%2F0332&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0337&ApplicationNumber=13%2F0337&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0978&ApplicationNumber=15%2F0978&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0969&ApplicationNumber=16%2F0969&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0970&ApplicationNumber=16%2F0970&AddressPrefix=&Postcode=&Submit=Search,,2.0,Construction of 2 dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0043,brownfield,15/0728,,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0728/PL-01%20Existing%20Site%20Location%20Plan.pdf,363808.0,523539.0,8.5,not owned by a public authority,Y,permission,full planning permission,2017-02-20,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0603&ApplicationNumber=07%2F0603&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0288&ApplicationNumber=08%2F0288&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0689&ApplicationNumber=10%2F0689&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0400&ApplicationNumber=11%2F0400&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0633&ApplicationNumber=15%2F0633&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0728&ApplicationNumber=15%2F0728&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0917&ApplicationNumber=15%2F0917&AddressPrefix=&Postcode=&Submit=Search,,31.0,Conversion to 31 dwellings,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/HHE/0044,brownfield,15/0841,,"Land at Old Town, High Hesket",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0841/2.%2012-47-PL110a%20Site%20Location%201-2500%20at%20A4.pdf,347959.0,543753.0,1.05,not owned by a public authority,Y,permission,outline planning permission,2017-08-23,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0853&ApplicationNumber=11%2F0853&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0840&ApplicationNumber=15%2F0840&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0841&ApplicationNumber=15%2F0841&AddressPrefix=&Postcode=&Submit=Search,,27.0,Residential development with all matters reserved.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SOU/0045,brownfield,15/0708,,"South Lodge, Southwaite",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0708/Existing%20Site%20Plan%20-%20uses.pdf,344065.0,54810.0,0.45,not owned by a public authority,Y,permission,outline planning permission,2015-12-17,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0708&ApplicationNumber=15%2F0708&AddressPrefix=&Postcode=&Submit=Search,,8.0,Outline application for 8 dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0046,brownfield,17/0771,,"Armstrong and Fleming Garage, Roper Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0771/17-0771-Site-Location-Plan.pdf,351865.820770484,529897.937900706,0.358307437307518,not owned by a public authority,Y,pending decision,full planning permission,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/0949&ApplicationNumber=04%2F0949&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/1036&ApplicationNumber=05%2F1036&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0188&ApplicationNumber=07%2F0188&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0658&ApplicationNumber=07%2F0658&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0024&ApplicationNumber=09%2F0024&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0100&ApplicationNumber=09%2F0100&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0765&ApplicationNumber=16%2F0765&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1071&ApplicationNumber=16%2F1071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0771&ApplicationNumber=17%2F0771&AddressPrefix=&Postcode=&Submit=Search,,54.0,"Demolition of existing buildings and erection of 54no. retirement living apartments, including communal facilities, car parking and landscaping.",,housing land,,,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NEN/0047,brownfield,LNE3,,"Wright Bros Garage, Nenthead",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEN/0047,378027.289814837,543726.076607332,0.586,not owned by a public authority,Y,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0696&ApplicationNumber=06%2F0696&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/1082&ApplicationNumber=10%2F1082&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0599&ApplicationNumber=12%2F0599&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0071&ApplicationNumber=16%2F0071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0179&ApplicationNumber=17%2F0179&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0048,brownfield,P94,,"QEGS Annexe, Ullswater Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0048,351221.475107977,529764.05841045,0.579,not owned by a public authority,Y,,,,,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ALS/0049,brownfield,AL8,,"Tyne Café and garage buildings, Alston",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/ALS/0049,371726.137114939,546302.93324516,0.351,mixed ownership,Y,,,,,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0050,brownfield,P2,,"69 Gilwilly Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0050,351061.27949938,530303.411060796,0.331,not owned by a public authority,Y,,,,,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0051,brownfield,P8,,"Myers Lane depot, Norfolk Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0051,351070.015,529967.568,0.634,not owned by a public authority,Y,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0132&ApplicationNumber=06%2F0132&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0825&ApplicationNumber=06%2F0825&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0748&ApplicationNumber=11%2F0748&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/1087&ApplicationNumber=11%2F1087&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1101&ApplicationNumber=16%2F1101&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/1093&ApplicationNumber=17%2F1093&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SHA/0052,brownfield,LSH16,,"Former Food Factory, Shap",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/SHA/0052,356460.426257505,514347.900468756,0.631,not owned by a public authority,,,,,,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0053,brownfield,AP24,,"Land at Westmorland Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0053,368519.10446148,520896.273315686,0.504,not owned by a public authority,Y,,,,,,,,,housing land,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0054,brownfield,,,"Land at Belgravia, off Long Marton Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0054,368265.0,521164.0,0.66,mixed ownership,Y,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0300&ApplicationNumber=11%2F0300&AddressPrefix=&Postcode=&Submit=Search,,10.0,,,housing land,Y,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NOL/0057,brownfield,,,"Biggins, Main Street, Newbiggin-on-Lune, Kirkby Stephen, CA17 4NT",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NOL/0057,370448.0,505230.0,0.03,not owned by a public authority,Y,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0733&ApplicationNumber=15%2F0733&AddressPrefix=&Postcode=&Submit=Search,,3.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
