OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsrangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,62,Three storey building with A use frontage,"12 to 16 High Street, Walton-on-Thames, KT12 1DA","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510062.43053618202&startNorthing=166373.800088855",OSGB36,510062.4305,166373.8001,0.0918,not owned by a public authority,yes,pending decision,full planning permission,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/1099'&appno:PARAM=2018/1099&address:PARAM=12-16 High Street, Walton-on-thames, Surrey&northing:PARAM=166378&easti",,32,"32 flats incorportaing car and cycle parking, bin storage and associated works following demolition of existing buildings except front façade.",A mixed-use development comprising Retail (A1) (388 sqm) at ground floor level.,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,67,Detached commercial unit,"Esher Tyre and Exhaust, The Broadway, Thames Ditton, KT7 0LU","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=515096.01842854498&startNorthing=166367.545051633",OSGB36,515096.0184,166367.5451,0.0624,not owned by a public authority,yes,permissioned,full planning permission,31/12/2018,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2017/2484'&appno:PARAM=2017/2484&address:PARAM=Esher Tyre And Exhaust,  The Broadway, Thames Ditton, Surrey, KT7 0LU&n",,8,Detached two-storey building with rooms in the roofspace comprising 8 flats with associated bin and cycle store and parking following demolition.,,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,69,A/C3 uses on ground floor and C3 uses 1st floor,"13-19a High Street, Walton-on-Thames, KT12 1DG","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=510141.34493499401&startNorthing=166420.12110588801",OSGB36,510141.3449,166420.1211,0.2807,not owned by a public authority,yes,pending decision,full planning permission,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt12+1dg ,,30,"30 flats incorporating car and cycle parking, bin stores and associated works following demoltion of existing buildings","Mixed-use development comprising Retail (A1) (522sqm), retail (A1)/ Restraunt (A3)(209sqm)",,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,14,Two storey office building and hardstanding,"Clive House, 12 - 18 Queens Road, Weybridge, Surrey, KT13 9XE","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508153.33947519498&startNorthing=164425.39452085199",OSGB36,508153.3395,164425.3945,0.2845,not owned by a public authority,yes,not permissioned,other,05/02/2019,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=clive+house,,31,PD Prior Notification: Change of use from Office (B1a) to Residential (C3),,,,,,,,15/12/2017,01/04/2018,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,37,Two storey office building with hardstanding,"St Georges House, 24 Queens Road, Weybridge, Surrey, KT13 9UX","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508264.99219025101&startNorthing=164324.657369355",OSGB36,508264.9922,164324.6574,0.3728,not owned by a public authority,yes,permissioned,full planning permission,07/02/2018,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2017/2534'&appno:PARAM=2017/2534&address:PARAM=Site Of St Georges House 24,  Queens Road, Weybridge, Surrey, KT13 9UX&",,,Development comprising 43 extra care apartments (C2 use) with ancillary landscaping and parking following demolition of existing office building (B1 use),43,,,,,,,01/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,40,Comprised of 9 residential units,"34 Queens Road, Weybridge, KT13 0AU","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=508476.487051784&startNorthing=164144.17502554299",OSGB36,508476.4871,164144.175,0.5372,not owned by a public authority,yes,permissioned,full planning permission,17/07/2018,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/0038'&appno:PARAM=2018/0038&address:PARAM=34 Queens Road, Weybridge, Surrey, KT13 0AU&northing:PARAM=164124&easti",,50,Development comprising 59 retirement apartments with associated oarking and landscaping and new accesses from St George's Avenue and Queens Road following the demolition of the existing building on the site,,,,,,,,01/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,53,Two detached buildings,"Locke King House, 2 Balfour Road, Weybridge, KT13 8HD","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=507132.79627652001&startNorthing=164809.72304305699",OSGB36,507132.7963,164809.723,0.1713,not owned by a public authority,yes,pending decision,full planning permission,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt13+8hd ,,10,"Detached two-storey building with rooms in the roofspace and dormer windows to provide 10 flats with associated basement parking, landscaping, new access and entrance gates and piers (a maximum of 2m high) following demolitio of existing office building (B1) (514.6 sqm).",,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,56,Single/part two storey building ,"18 Springfield Lane, Weybridge, KT13 8AW","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=507600.80963646498&startNorthing=164891.929101463",OSGB36,507600.8096,164891.9291,0.14,not owned by a public authority,,pending decision,outline planning permission,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=kt13+8aw ,,22,"Outline application for detached five-storey building containing 22 flats with associated parking, cycle and bin stores following demolition of existing building (for access, appearance, layout and scale).",,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,51,Two large villas,"Royal Cambridge Home, 82-84 Hurst Road, East Molesey, KT8 9AH","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=514593.19101975998&startNorthing=168727.820018695",OSGB36,514593.191,168727.82,0.8047,not owned by a public authority,yes,not permissioned,other,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=royal+cambridge ,,60,"Detached building carying in height from four storey to one-storey to provide 60 extra care age restricted apartments (C3), new vehicle access, provision of 30 onsite car parking spaces, buggy and cycle stores with associated landscaping and ancillary works following demolition of the existing buildings.",32 bed care home (C2),,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,64,,"19-23 Church Road, East Molesey, KT8 9DS","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=514616.37366205902&startNorthing=168519.73345900999",OSGB36,514616.3737,168519.7335,0.2986,not owned by a public authority,yes,pending decision,full planning permission,,"http://emaps.elmbridge.gov.uk/ebc_planning.aspx?requesttype=parseTemplate&template=PlanningHistoryTab.tmplt&Filter=^APPLICATION_NUMBER^='2018/1430'&appno:PARAM=2018/1430&address:PARAM=Site Of 19 To 23,  Church Road, East Molesey, Surrey, KT8 9DS&northing:",,11,"Development comprising 2 detached buildings consisting of 13 flats in total with associated access, parking and landscaping following demolition of existing 2 houses.",,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,58,Single storey dwelling,"1 Copsem Lane, Esher, KT10 9EU","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=514004.39670937997&startNorthing=163916.86356447",OSGB36,514004.3967,163916.8636,0.1382,not owned by a public authority,yes,not permissioned,,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=1+copsem+lane,,8,"Pre-Application Enquiry: The redevelopment of 1 Copsem Lane, Esher. Proposing to demolish the existing single storey dwelling and erect 9 apartments.",,,,,,,,02/04/2018,,
http://opendatacommunities.org/doc/district-council/elmbridge,Elmbridge Borough Council,46,Garages and hardstanding,"Longmead Road, Thames Ditton, KT7 0JF","http://emaps.elmbridge.gov.uk/ebc_brownfield.aspx?requesttype=parseTemplate&template=BrownFieldmapsearch.tmplt&layers=Brownfield_Register,ebc_boroughboundary&startzoom=800&startEasting=515668.15926331002&startNorthing=166622.55880771799",OSGB36,515668.1593,166622.5588,0.5667,not owned by a public authority,yes,not permissioned,,,http://emaps.elmbridge.gov.uk/ebc_planning.aspx?pagerecs=500&maxrecords=500&template=SearchResultsTab.tmplt&requestType=parseTemplate&ADDRESS%3APARAM=KT7+0JF,,65,Pre-Application Enquiry: Site located in a corner at the end of Belvedere gardens. Rectangular in shape and currently occupying 27 garages in two blocks.,,,,,,,,02/04/2018,,
