OrganisationURI,OrganisationLabel,Site Ref,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ownership Status,Site Yes (within 5 years),Planning_Status_Reference,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2377,,"Carters Green / Gun Lane,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399752,291649,1.09,,,Permissioned,Other,2012,,No,50,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2381,,"Bus Depot Oak Road,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399722,291153,1.47,,,Permissioned,Other,2012,,No,68,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2388,,"Swan Lane
North of A41
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399292,292288,3.40,,,Permissioned,Other,2012,,No,134,,,,,13/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2390,,"Sandwell District & General Hospital,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400890,292079,2.73,,,Permissioned,Other,2012,,No,96,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2396,,"116/117 Graingers Lane
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,394385,285823,0.04,,Yes,Permissioned,Full,26.09.2008,,No,6,,,,under construction,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2402,,"Cradley Print Limited,
18 Chester Road,
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,394190,285758,1.06,,Yes,Pending Decision,Full,,,No,51,,,,DC/18/62186,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2423,,"Former Dept of Social Security,
Church Hill Street,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,401967,288504,0.50,,,Permissioned,Other,2012,,No,60,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2450,,"Cottage Spring,
97 Alexandra Road,
Tipton,
West Midlands, DY4 8TD",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396139,292460,0.12,,Yes,Permissioned,Full,30.03.2017,,No,10,,,,DC/16/60160  under construction,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2583,,"Extension to Caravan Site
Brierley Lane
Bilston
WV14 8TU",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,395221,294667,1.38,,Yes,Permissioned,Full,26.05.2009,,No,26,,,,16 plots completed,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2588,,"Abberley Street,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,403664,287872,1.66,,,Permissioned,Other,2012,,No,108,,,,,30/06/2016,01/12/2017,
