OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/01793/FUL,"Shapley Ranch, London Road, Hartley Wintney, Hook, Hampshire, RG27 8HY",https://publicaccess.hart.gov.uk/online-applications/,51.291831,-0.920967,0.37,not owned by a public authority,permissioned,full planning permission,19/01/2018,,Y,7,7,,Redevelopment of the site to provide 7 dwellings,20/12/2018,20/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/00471/OUT,"Hartland Park, Bramshot Lane, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,51.283946,-0.807055,56,not owned by a public authority,permissioned,full planning permission,13/07/2018,,Y,1500,1500,,"Outline PP for up to 1,500 dwellings, local centre, comercial space and school. Full PP for 181 dwellings as part of this. Permission extant with 73 dwellings under construction at April 2019.",22/12/2017,16/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,19/01376/FUL,"Queens Arms, Farnham Road, Ewshot, Farnham, GU10 5AU",https://publicaccess.hart.gov.uk/online-applications/,51.237508,-0.833672,0.26,not owned by a public authority,permissioned,full planning permission,14/08/2019,,Y,9,9,,Conversion and extension of building to form 9 residential units: change of use from B1 to C3. Previous application 17/02501/FUL for 9 units permitted 2018-04-27.,20/12/2018,16/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02492/FUL,"The Oakmede And The Millmede, Minley Road, Fleet, Hampshire, GU51 2RB",https://publicaccess.hart.gov.uk/online-applications/,51.294571,-0.829103,0.25,not owned by a public authority,permissioned,full planning permission,27/06/2018,,Y,14,14,,Demolition of The Oakmede and outbuildings and the construction of two blocks of 7 flats each. Development under construction at April 2019.,20/12/2018,20/12/2018,22/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/00110/FUL,"Rawlings Building, Station Road, Hook, RG27 9HU",https://publicaccess.hart.gov.uk/online-applications/,51.278768,-0.961059,1.13,not owned by a public authority,permissioned,full planning permission,29/03/2019,,Y,56,56,,"PP is for 37 retirement living apartments for older persons and 19 residential units, plus 68 C2 extra care units. New application 19/01783/FUL (same except C2 units increased to 75) undetermined at Dec 19.",22/12/2017,20/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,18/02285/FUL,"Imac Systems Ltd, Upper Street, Fleet, GU51 3PE",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,51.279561,-0.841537,0.05,not owned by a public authority,pending decision,,,,,6,6,,"17/02891/PREAPP for 6 dwgs, acceptable in principle. 18/02285/FUL for 8 dwgs refused 2019-03-25. Appeal in progress Dec 19.",22/12/2017,14/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,SHL192,"Land To The Rear Of, 140-148 Fleet Road, Fleet, GU51 4BE",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,51.282178,-0.842446,0.21,not owned by a public authority,pending decision,,,,,12,12,,12 dwgs figure taken from SHLAA. Site formerly in B1 use but all buildings demolished in 2014 and site now vacant. Application 18/02321/FUL for 14 flats undetermined at Dec 19. Site address revised from 140-150 to 140-148 Nov 19.,22/12/2017,19/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,SHL104,"Land south and east of Elvetham Heath Way, Elvetham Heath, Fleet",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,51.289409,-0.872939,0.84,not owned by a public authority,not permissioned,,,,,20,40,,"Forms part of SHLAA site SHL104 (2.25 ha, 40 dwellings). Only the PDL element (the car park) is included here. 20 dwgs represents the PDL element at standard SHLAA ratios.",22/12/2017,15/11/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,SHL195,"Lismoyne Hotel, 45 Church Road, Fleet, Hampshire, GU51 4NE",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,51.284035,-0.845655,0.98,not owned by a public authority,not permissioned,,,,,40,40,,"Numbers taken from SHLAA, which suggests potential for 40-unit residential (C3 use) or a 70-unit care home (C2 use)",22/12/2017,22/12/2017,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,SHL208,"Admiral House, Harlington Way, Fleet, Hampshire, GU51 4YA",https://www.hart.gov.uk/Evidence-base#SHLAA Docs,51.279683,-0.847441,0.46,not owned by a public authority,not permissioned,,,,,20,20,,Numbers taken from SHLAA,22/12/2017,22/12/2017,
