OrganisationURL,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",468,"Pottery, Sutherland Road, Longton",343256.2871,391641.4429,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.38,not owned by a public authority,not permissioned,,,,,19,19,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",469,"Potterycrafts Premises,Campbell Road,Stoke on Trent,Staffs. ST4 4ET",344391.1845,387614.0023,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.1,not owned by a public authority,not permissioned,,,,,70,70,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",487,"Squires View, Shelton",345455.3756,388236.9743,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.85,not owned by a public authority,not permissioned,,,,,100,100,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",494,"School, Wellfield Road, Bentilee",346397.6416,391167.7866,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,3.59,not owned by a public authority,not permissioned,,,,,25,25,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",506,"Site of Penkhull Farm, Garden Street, Penkhull, ST4 5DY",344778.4838,386787.532,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.63,not owned by a public authority,permissioned,other,12/12/2017,,,14,14,,,31/12/2017,31/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",512,"Spode Works (residential element but full site area shown), Elenora Street, Stoke",345332.4777,387723.5059,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,4.07,Mixed ownership,not permissioned,,,,,300,300,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",549,"Works, Commercial Road, Hanley",347221.7244,388950.12,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.76,not owned by a public authority,not permissioned,,,,,51,51,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",774,"Development Land at Bengry Road, Longton",342673.2653,392214.6686,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.69,owned by a public authority,not permissioned,,,,,28,28,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",840,"Swift House, Glebe Street, Stoke",345485.3999,387998.6386,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.58,owned by a public authority,not permissioned,,,,yes,250,250,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61804,"Land between Lichfield Street and Eastwood Road, Hanley, Stoke-on-Trent",347070.0054,388618.5444,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.81,owned by a public authority,permissioned,full planning permission,30/05/2018,,yes,128,128,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61856,"19 - 27, Pall Mall, Hanley, Stoke-on-Trent, ST1 1EB",347471.1666,388145.9283,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.13,not owned by a public authority,permissioned,full planning permission,14/08/2018,,yes,37,37,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",61889,"Coronation Court, Lonsdale Street, Stoke-on-Trent, BB4 4DR",344903.1383,387820.5758,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1,not owned by a public authority,permissioned,full planning permission,12/04/2018,,yes,10,10,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62011,"Site at 5 - 15 Uttoxeter Road, Longton, Stoke-on-Trent ST3 1NX",343349.3801,391221.1134,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,full planning permission,30/04/2018,,yes,11,11,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62023,"143 Uttoxeter Road, Stoke-on-Trent, ST3 1QQ",343075.0537,391607.1378,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,full planning permission,10/07/2018,,yes,7,7,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62072,"Prohibition House, Trinity Street, Hanley, Stoke-on-Trent, ST1 5LA",347642.5313,388208.6166,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.03,not owned by a public authority,permissioned,full planning permission,23/04/2018,,yes,24,24,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62102,"Land at Pyenest Street, Shelton, Stoke-on-Trent",346526,387684,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,2.16,owned by a public authority,permissioned,outline planning permission,30/05/2018,,yes,125,125,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62170,"Land to the rear of One Stop Supermarket, Sandon Road, Stoke on Trent",341861.8575,392898.6421,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.07,not owned by a public authority,permissioned,outline planning permission,30/04/2018,,yes,8,8,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62171,"Former Gilberts Furniture Store, Shelton New Road, Stoke-on-Trent  ST4 6DS",346103.3636,385940.5848,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.29,not owned by a public authority,permissioned,full planning permission,15/08/2018,,yes,14,14,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62172,"Land adjacent to 18 Summerbank Road, Tunstall, Stoke-on-Trent, ST6 5EY",351983.6042,385592.2673,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.15,not owned by a public authority,permissioned,outline planning permission,31/05/2018,,yes,10,10,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62189,"The Meadows, Spode Works, Elenora Street, Stoke on Trent, ST4 1QD",345359.2159,387665.0953,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.12,not owned by a public authority,permissioned,full planning permission,25/02/2019,,yes,22,22,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62377,"Grosvenor Chambers, Foundry Street, Hanley, Stoke-on-Trent, ST1 5HE",347664.2008,388202.4356,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.01,not owned by a public authority,permissioned,planning permission granted under an order,16/05/2018,,yes,6,6,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62379,"Port Vale Football Club, Hamil Road, Burslem, Stoke-on-Trent ST6 1AJ",350307.3792,387264.09,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.06,not owned by a public authority,permissioned,outline planning permission,19/06/2018,,yes,8,8,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62434,"Land adjacent 214 London Road and Club Street, Stoke-on-Trent ST4 5RH",344739.6185,387466.6169,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.07,not owned by a public authority,permissioned,full planning permission,26/07/2018,,yes,21,21,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62462,"41 -51, Queen Street, Burslem, Stoke On Trent, ST6 3EH",349697.1138,386804.6531,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.07,not owned by a public authority,permissioned,full planning permission,26/10/2018,,yes,9,9,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62528,"Queen of Hearts, Lillydale Road, Bucknall, Stoke-on-Trent",347248.162,391040.7499,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.22,not owned by a public authority,permissioned,full planning permission,28/09/2018,,yes,16,16,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62706,"6 Jasper Street, Hanley, Stoke-on-Trent, ST1 3DA",347189.3707,388442.6548,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.05,not owned by a public authority,permissioned,full planning permission,17/08/2018,,yes,6,6,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62711,"Land at Sneyd Street, Stoke-On-Trent, ST6 2NS",348969.5979,388252.4121,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.25,not owned by a public authority,permissioned,full planning permission,07/11/2018,,yes,16,16,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62726,"Snow's Garage, 706 Leek Road, Stoke-On-Trent, ST1 3NP",347065.1745,389409.071,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.4,not owned by a public authority,permissioned,full planning permission,13/11/2018,,yes,14,14,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62728,"Former Florence County Primary School, St Clair Street, Florence, Stoke-on-Trent, ST3 4NH",342545.3765,391321.1967,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.33,not owned by a public authority,permissioned,full planning permission,01/11/2018,,yes,20,20,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62731,"Former Blurton Railway site, off Church Road, Blurton, Stoke-on-Trent",342312.2835,389970.6835,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.17,not owned by a public authority,permissioned,full planning permission,01/03/2019,,yes,6,6,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62731,"Former Blurton Railway site, off Church Road, Blurton, Stoke-on-Trent",342313,389969,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.16,not owned by a public authority,permissioned,full planning permission,13/12/2013,,yes,7,7,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",62965,"18 Haydon Street, Basford, Stoke-on-Trent, ST4 6JE",346474.5174,386144.8634,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.04,not owned by a public authority,permissioned,full planning permission,08/10/2018,,yes,5,5,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63067,"Former Weston Coyney Arms, 331 Weston Coyney Road, Weston Coyney, Stoke-on-Trent, ST3 6ES",343560.2581,392955.6735,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.03,not owned by a public authority,permissioned,full planning permission,16/01/2019,,yes,13,13,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63079,"Land at 56 - 68 Ainsworth Street, Mount Pleasant, Stoke-on-Trent, ST4 4JR",344107.3356,388309.1755,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.12,not owned by a public authority,permissioned,outline planning permission,06/11/2018,,yes,6,6,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63095,"Former Workshops for the Blind, City Road, Fenton, Stoke-on-Trent ST4 2PL",344819.749,388914.1396,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.31,owned by a public authority,permissioned,full planning permission,05/03/2019,,yes,93,93,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63096,"Former Fenton Local Centre and car park, Baker Street, Fenton, Stoke-on-Trent ST4 3AF",344637.7076,389106.5459,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.56,owned by a public authority,permissioned,full planning permission,05/03/2019,,yes,42,42,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63108,"Land off Pembridge Road, Blurton, Stoke-on-Trent, ST3 3BU",341471.2041,389511.7793,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.22,not owned by a public authority,permissioned,full planning permission,18/12/2018,,yes,6,6,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63109,"Land off Fallowfield, Blurton, Stoke-on-Trent, ST3 3EH",341740.0961,389621.0844,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.17,not owned by a public authority,permissioned,full planning permission,07/12/2018,,yes,5,5,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63110,"Land off Chamberlain Avenue, Stoke-on-Trent, ST4 5EQ",344778.912,386992.3493,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.15,not owned by a public authority,permissioned,full planning permission,30/01/2019,,yes,10,10,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63145,"Lord John House, Waterloo Street, Hanley, Stoke-on-Trent, ST1 3PW",347300.287,388732.3345,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.05,not owned by a public authority,permissioned,full planning permission,25/02/2019,,yes,10,10,,,26/09/2019,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",63231,"Hamil House, Hamil Road, Burslem, Stoke-on-Trent, ST6 1AQ",350041.7412,387095.8332,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.03,not owned by a public authority,permissioned,full planning permission,21/12/2018,,yes,11,11,,,26/09/2019,26/09/2019,
