OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinDetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,170132,#N/A,"Land adjacent to Gas Works, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=170132,OSGB36,357156.000,219885.000,0,,,permissioned,full planning permission,2017-03-16,,#N/A,0,"Demolition of former childcare facility. Proposed new dwelling and~detached double garage. (For DOC 3, 4, 5, 7, 8, 9, 10, 11, 12, 17, 18,~20, 21 & 24 see 173844)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153500,#N/A,"6a Graftonbury Mews, Grafton Lane, Hereford, Herefordshire, HR2 8BN",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153500,OSGB36,349672.000,237046.000,0.01,,,permissioned,full planning permission,2016-01-20,,#N/A,1,Proposed demolition of existing administration building and erection~of a new chalet style bungalow.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,164079,#N/A,"Lower House Farm, Netherwood Lane, Hereford, HR1 1UT",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164079,OSGB36,353515.000,240450.000,0,,,permissioned,full planning permission,2017-02-14,,#N/A,0,Return former farmhouse to use as a dwellinghouse.  Certification of~Class of Use as C3(a) is required for occupancy by a single person or~family. (For DOC 3 see 172338),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162033,#N/A," Cobnash House, Hostel Lane, Cobnash, Kingsland, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162033,OSGB36,344958.000,260296.000,0,,,permissioned,full planning permission,2016-10-05,,#N/A,0,2 proposed self build sustainable new dwellings with ancillary~outbuildings and landscaping (For DOC 2 5 7 8 11 & 12 see 170687) (For~DOC 3 & 4 see 181076) (For DOC 11 see 181375),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163290,#N/A,"Land at The Garden House, Orchard Close, Kingsland, Leominster, Herefordshire, HR6 9QS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163290,OSGB36,344837.000,261425.000,0,,,permissioned,full planning permission,2016-12-21,,#N/A,0,Proposed new dwelling,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162468,#N/A,"Brookfield Lodge, Thruxton, Hereford, Herefordshire, HR2 9BB",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162468,OSGB36,343231.000,234830.000,0,,,permissioned,full planning permission,2016-10-17,,#N/A,0,Proposed change of use of outbuilding to a separate dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,113545,#N/A,"Land behind 43 Duke Street, Kington, Herefordshire, HR5 3BL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=113545,OSGB36,329804.000,256729.000,0,,,,full planning permission,2012-05-16,,#N/A,0,Proposed construction of 4 houses and garages.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,141330,#N/A,"Kingswood Hall, Kingswood Road, Kington, Hereford, HR5 3HE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=141330,OSGB36,329778.000,255799.000,0.23,,,permissioned,full planning permission,2014-06-20,,#N/A,1,"Proposed erection of new dwelling, annex and garage. (For DOC 5 & 6~see 173547)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161093,#N/A,"Land to the rear of Owls Rest, Lower Cross Lane, Kington, Herefordshire, HR5 3BG",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161093,OSGB36,329764.000,256733.000,0.06,,,permissioned,full planning permission,2016-06-10,,#N/A,0,Proposed dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162420,#N/A,"Old Bakery, 12 Church Street, Kington, Herefordshire, HR5 3AZ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162420,OSGB36,329580.000,256689.000,0,,,permissioned,full planning permission,2016-09-16,,#N/A,0,Change of use of old bakery to a one bed dwelling.  A~covered bicycle store and garden and amenity area.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163478,#N/A,"The Oaklands, Kingswood, Kington, Herefordshire, HR5 3HF",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163478,OSGB36,329513.000,254601.000,0,,,permissioned,full planning permission,2017-03-07,,#N/A,0,Proposed staff accommodation facility to be built on the footprint of~an existing store building.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160663,#N/A,"Land at The Old Carpenters Shop, Kinnersley, Hereford, Herefordshire, HR3 6QB",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160663,OSGB36,333853.000,249234.000,0,,,permissioned,full planning permission,2016-04-29,,#N/A,0,Proposed erection of one dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163836,#N/A,"The Sign Shop at Little Heath, Heath Road, Leysters, Herefordshire, HR6 0HT",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163836,OSGB36,355668.000,262438.000,0,,,permissioned,full planning permission,2017-02-01,,#N/A,0,Change of use of redundant office/workshop to residential use,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143537,#N/A,"Tinsmiths, Rear of 8A High Street, Ledbury, Herefordshire, HR8 1DS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143537,OSGB36,371188.000,237671.000,0,,,permissioned,full planning permission,2015-06-19,,#N/A,1,Proposed single dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
