entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.515192,-2.462828,0.07,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.522914,-2.499061,0.21,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.556235,-2.627437,0.06,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.537016,-2.587397,0.23,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.529635,-2.665338,14.68,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.468715,-2.55773,42.66,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.556868,-2.644068,0.1,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.523502,-2.485967,0.31,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.557303,-2.60148,0.18,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.518294,-2.530584,0.28,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.505699,-2.525244,1.25,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.496117,-2.510872,0.6,,,2018-10-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
