entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:CHW,EPT/0093,"Stoak Lodge, Stoak Gardens, Ellesmere Port CH65 0DW",http://consult.cheshirewestandchester.gov.uk/file/4828221,yes,not owned by a public authority,permissioned,full planning permission,,53.276429,-2.894997,0.19,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0094,"Land adjacent to 43 Malvern Avenue, Ellesmere Port CH65 5AG",http://consult.cheshirewestandchester.gov.uk/file/4828222,yes,not owned by a public authority,permissioned,full planning permission,,53.272728,-2.89345,0.12,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,EPT/0096,"53 Whitby Road, Ellesmere Port CH65 8AB",http://consult.cheshirewestandchester.gov.uk/file/4828223,yes,not owned by a public authority,permissioned,full planning permission,,53.279724,-2.899071,0.05,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FAR/0054,"Grosvenor Estate Yard, Middle Lane, Aldford, Chester CH3 6JA",http://consult.cheshirewestandchester.gov.uk/file/4828224,,not owned by a public authority,not permissioned,full planning permission,,53.126812,-2.868496,0.66,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FRO/0008,"The Forge, Ship Street, Frodsham Cheshire WA6 7NZ ",http://consult.cheshirewestandchester.gov.uk/file/4828225,yes,not owned by a public authority,permissioned,full planning permission,,53.298388,-2.724361,0.07,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FRO/0037a,"3-15 Bridge Lane, Frodsham",http://consult.cheshirewestandchester.gov.uk/file/4828226,,mixed ownership,not permissioned,,,53.29855,-2.716936,0.16,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FRO/0038,"Land off Greenfield Lane, Frodsham",http://consult.cheshirewestandchester.gov.uk/file/4828227,,not owned by a public authority,not permissioned,,,53.296772,-2.727019,0.37,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FRO/0054,"Mersey View Club, Overton Hill, Bellemonte Road, Frodsham Cheshire WA6 6HH ",http://consult.cheshirewestandchester.gov.uk/file/4828228,yes,not owned by a public authority,permissioned,outline planning permission,,53.286268,-2.724935,1.39,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,FRO/0057,"Former Frodsham library site, High Street, Frodsham",http://consult.cheshirewestandchester.gov.uk/file/4828229,yes,not owned by a public authority,pending decision,,,53.297575,-2.723627,0.08,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GAQ/0005,"Land to rear of Crane Bank Garage, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828230,,not owned by a public authority,not permissioned,,,53.191365,-2.90213,0.18,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GAQ/0006,"Southern Tail development (remaining part of allocation), New Crane Street",http://consult.cheshirewestandchester.gov.uk/file/4828231,,not owned by a public authority,not permissioned,,,53.19053,-2.901992,0.66,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GAQ/0010,"Land at Arthur Street, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828232,,not owned by a public authority,not permissioned,,,53.195845,-2.90646,0.56,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GAQ/0012,"Land off New Crane Street / Kitchen Street, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828233,,not owned by a public authority,not permissioned,,,53.190168,-2.901132,0.35,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
